MSA,Total Businesses,10-19 employees,5-9 employees,20-49 employees,50-99 employees
10100,7687,465,465,465,465
10140,8698,441,441,441,441
10180,23692,838,838,838,838
10220,5230,354,354,354,354
10300,9958,497,497,497,497
10420,96610,1250,1250,1250,1250
10460,5143,341,341,341,341
10500,18032,681,681,681,681
10540,15527,665,665,665,665
10580,128883,1276,1276,1276,1276
10620,7433,417,417,417,417
10660,4142,310,310,310,310
10700,10564,493,493,493,493
10740,112489,1287,1287,1287,1287
10760,4172,291,291,291,291
10780,19148,700,700,700,700
10820,7531,480,480,480,480
10860,4357,273,273,273,273
10900,110285,1312,1312,1312,1312
10940,3744,283,283,283,283
10980,4115,321,321,321,321
11020,18587,703,703,703,703
11060,2617,218,218,218,218
11100,37579,952,952,952,952
11140,3423,274,274,274,274
11180,12088,571,571,571,571
11220,5767,377,377,377,377
11260,66439,1107,1107,1107,1107
11380,2246,173,173,173,173
11420,5149,385,385,385,385
11460,48757,1017,1017,1017,1017
11500,12806,562,562,562,562
11540,34935,957,957,957,957
11580,2491,201,201,201,201
11620,9042,488,488,488,488
11660,2716,203,203,203,203
11680,3666,270,270,270,270
11700,80040,1142,1142,1142,1142
11740,5607,378,378,378,378
11780,10691,561,561,561,561
11820,8671,478,478,478,478
11860,1743,174,174,174,174
11900,5717,353,353,353,353
11940,4904,332,332,332,332
11980,7441,436,436,436,436
12020,28765,824,824,824,824
12060,886949,1754,1754,1754,1754
12100,36506,838,838,838,838
12120,3957,291,291,291,291
12140,5162,360,360,360,360
12180,8662,476,476,476,476
12220,17150,672,672,672,672
12260,64536,1081,1081,1081,1081
12300,18780,701,701,701,701
12380,4387,321,321,321,321
12420,336059,1502,1502,1502,1502
12460,3067,254,254,254,254
12540,78672,1122,1122,1122,1122
12580,403692,1548,1548,1548,1548
12620,24143,792,792,792,792
12660,10382,518,518,518,518
12680,5103,345,345,345,345
12700,51503,920,920,920,920
12740,12475,614,614,614,614
12780,6194,378,378,378,378
12820,2178,190,190,190,190
12860,6962,444,444,444,444
12900,4150,302,302,302,302
12940,110545,1274,1274,1274,1274
12980,13993,634,634,634,634
13020,11926,568,568,568,568
13060,3921,315,315,315,315
13100,3382,276,276,276,276
13140,47107,990,990,990,990
13180,9762,506,506,506,506
13220,13946,578,578,578,578
13260,4971,345,345,345,345
13300,2437,219,219,219,219
13340,4386,314,314,314,314
13380,40374,1012,1012,1012,1012
13420,6697,427,427,427,427
13460,45428,982,982,982,982
13500,1517,146,146,146,146
13540,7314,422,422,422,422
13620,5200,336,336,336,336
13660,3741,293,293,293,293
13700,4293,325,325,325,325
13720,5855,349,349,349,349
13740,35989,970,970,970,970
13780,28869,875,875,875,875
13820,156248,1342,1342,1342,1342
13900,23245,794,794,794,794
13940,4946,331,331,331,331
13980,20443,732,732,732,732
14010,22839,754,754,754,754
14020,20224,725,725,725,725
14100,10494,521,521,521,521
14140,12320,557,557,557,557
14180,4079,306,306,306,306
14220,3322,255,255,255,255
14260,121580,1303,1303,1303,1303
14300,2489,207,207,207,207
14340,3096,263,263,263,263
14380,9491,466,466,466,466
14420,2117,177,177,177,177
14460,790860,1752,1752,1752,1752
14500,76566,1121,1121,1121,1121
14540,19665,745,745,745,745
14580,35364,892,892,892,892
14620,5209,336,336,336,336
14660,17663,666,666,666,666
14700,14557,590,590,590,590
14720,13379,501,501,501,501
14740,35752,840,840,840,840
14780,4921,357,357,357,357
14820,4695,304,304,304,304
14860,161100,1322,1322,1322,1322
15020,4358,313,313,313,313
15060,3786,259,259,259,259
15100,4784,331,331,331,331
15140,1411,121,121,121,121
15180,38522,930,930,930,930
15220,4555,322,322,322,322
15260,17179,655,655,655,655
15340,4086,293,293,293,293
15380,163501,1424,1424,1424,1424
15420,6522,398,398,398,398
15460,6558,392,392,392,392
15500,19420,719,719,719,719
15540,40661,1002,1002,1002,1002
15580,6291,422,422,422,422
15620,6422,419,419,419,419
15660,5605,374,374,374,374
15680,11565,479,479,479,479
15700,3537,277,277,277,277
15740,4463,321,321,321,321
15780,2946,241,241,241,241
15820,3217,233,233,233,233
15860,4747,336,336,336,336
15900,3195,237,237,237,237
15940,50515,1062,1062,1062,1062
15980,116754,1171,1171,1171,1171
16020,14993,648,648,648,648
16060,16376,643,643,643,643
16100,8490,451,451,451,451
16140,4699,352,352,352,352
16180,10667,562,562,562,562
16220,17011,721,721,721,721
16260,8688,472,472,472,472
16300,39913,956,956,956,956
16340,3159,225,225,225,225
16380,5624,379,379,379,379
16420,2804,223,223,223,223
16460,4680,334,334,334,334
16500,11022,557,557,557,557
16540,17923,704,704,704,704
16580,28806,843,843,843,843
16620,29231,835,835,835,835
16660,7400,425,425,425,425
16700,121078,1260,1260,1260,1260
16740,382636,1627,1627,1627,1627
16820,36737,899,899,899,899
16860,69562,1162,1162,1162,1162
16940,19434,719,719,719,719
16980,1489832,1855,1855,1855,1855
17020,27162,793,793,793,793
17060,6858,438,438,438,438
17140,278754,1580,1580,1580,1580
17200,38259,942,942,942,942
17220,12000,571,571,571,571
17260,2660,224,224,224,224
17300,26590,749,749,749,749
17340,6195,375,375,375,375
17380,3662,263,263,263,263
17420,12429,548,548,548,548
17460,297329,1585,1585,1585,1585
17500,3242,242,242,242,242
17540,6238,396,396,396,396
17580,5493,367,367,367,367
17660,30396,876,876,876,876
17700,4052,317,317,317,317
17740,4283,342,342,342,342
17780,30101,841,841,841,841
17820,111844,1161,1161,1161,1161
17860,27435,816,816,816,816
17900,106020,1223,1223,1223,1223
17980,34182,862,862,862,862
18020,10678,562,562,562,562
18060,8017,471,471,471,471
18100,5650,401,401,401,401
18140,261036,1498,1498,1498,1498
18180,24143,840,840,840,840
18220,2092,197,197,197,197
18260,12981,596,596,596,596
18300,8805,498,498,498,498
18380,2504,205,205,205,205
18420,4167,295,295,295,295
18460,4554,289,289,289,289
18500,10120,505,505,505,505
18580,57380,1062,1062,1062,1062
18620,5138,369,369,369,369
18660,5705,384,384,384,384
18700,12478,547,547,547,547
18740,3222,288,288,288,288
18780,1852,190,190,190,190
18820,4544,329,329,329,329
18860,1963,174,174,174,174
18880,48098,927,927,927,927
18900,5953,361,361,361,361
18980,10008,511,511,511,511
19000,5506,311,311,311,311
19060,11011,525,525,525,525
19100,1023400,1799,1799,1799,1799
19140,14886,630,630,630,630
19180,7361,407,407,407,407
19220,5671,350,350,350,350
19260,11849,541,541,541,541
19300,33254,856,856,856,856
19340,52338,1041,1041,1041,1041
19380,97888,1228,1228,1228,1228
19420,2515,208,208,208,208
19460,17510,701,701,701,701
19500,13202,604,604,604,604
19540,3835,302,302,302,302
19580,4309,326,326,326,326
19620,4329,309,309,309,309
19660,92431,1145,1145,1145,1145
19700,1799,157,157,157,157
19740,524052,1626,1626,1626,1626
19760,3300,252,252,252,252
19780,102381,1193,1193,1193,1193
19820,599403,1729,1729,1729,1729
19860,6491,400,400,400,400
19940,3693,276,276,276,276
19980,4108,310,310,310,310
20020,19757,724,724,724,724
20060,4415,312,312,312,312
20100,22176,784,784,784,784
20140,6525,395,395,395,395
20180,10854,518,518,518,518
20220,15929,709,709,709,709
20260,41987,1001,1001,1001,1001
20300,2323,203,203,203,203
20340,5969,376,376,376,376
20380,9888,487,487,487,487
20420,13840,604,604,604,604
20460,4351,311,311,311,311
20500,78746,1098,1098,1098,1098
20540,4106,286,286,286,286
20580,4343,269,269,269,269
20660,8081,455,455,455,455
20700,19769,706,706,706,706
20740,24827,816,816,816,816
20780,20564,625,625,625,625
20820,6929,415,415,415,415
20900,5513,359,359,359,359
20940,14702,620,620,620,620
20980,5827,368,368,368,368
21020,6708,397,397,397,397
21060,15348,622,622,622,622
21120,4056,284,284,284,284
21140,29107,946,946,946,946
21180,3416,279,279,279,279
21220,6418,413,413,413,413
21260,7385,424,424,424,424
21300,9688,532,532,532,532
21340,89422,1189,1189,1189,1189
21380,4428,328,328,328,328
21420,9043,505,505,505,505
21460,5256,332,332,332,332
21500,36562,974,974,974,974
21540,5331,387,387,387,387
21580,2914,242,242,242,242
21640,2438,196,196,196,196
21660,59597,1150,1150,1150,1150
21700,18648,719,719,719,719
21740,2980,259,259,259,259
21780,45803,1022,1022,1022,1022
21820,14511,662,662,662,662
21840,3409,282,282,282,282
21860,3192,285,285,285,285
21900,6269,368,368,368,368
21980,2314,210,210,210,210
22020,41154,979,979,979,979
22060,8566,495,495,495,495
22100,7923,432,432,432,432
22140,14605,625,625,625,625
22180,36559,845,845,845,845
22220,77916,1131,1131,1131,1131
22260,9689,501,501,501,501
22280,4336,314,314,314,314
22300,9301,506,506,506,506
22340,1365,151,151,151,151
22380,21869,757,757,757,757
22420,45098,932,932,932,932
22500,24750,787,787,787,787
22520,18539,691,691,691,691
22540,13043,599,599,599,599
22580,6773,397,397,397,397
22620,2242,183,183,183,183
22660,66837,1097,1097,1097,1097
22700,5494,369,369,369,369
22780,3542,251,251,251,251
22800,7683,415,415,415,415
22820,3746,286,286,286,286
22840,6043,371,371,371,371
22860,3636,262,262,262,262
22900,34367,891,891,891,891
23060,63234,1144,1144,1144,1144
23140,3141,243,243,243,243
23180,8503,454,454,454,454
23240,5837,391,391,391,391
23300,5489,352,352,352,352
23340,5459,359,359,359,359
23380,7125,448,448,448,448
23420,103584,1246,1246,1246,1246
23460,10929,524,524,524,524
23500,4951,336,336,336,336
23540,38772,951,951,951,951
23580,26813,852,852,852,852
23620,5072,367,367,367,367
23660,5385,347,347,347,347
23700,5265,319,319,319,319
23780,6015,398,398,398,398
23820,9148,496,496,496,496
23860,10418,485,485,485,485
23900,11105,550,550,550,550
23940,8315,461,461,461,461
23980,5061,362,362,362,362
24020,19258,703,703,703,703
24060,24435,726,726,726,726
24100,6249,372,372,372,372
24140,12290,554,554,554,554
24220,15173,664,664,664,664
24260,15143,640,640,640,640
24300,26818,856,856,856,856
24330,6329,402,402,402,402
24340,150664,1448,1448,1448,1448
24380,1426,147,147,147,147
24420,11671,576,576,576,576
24460,5112,363,363,363,363
24500,14087,646,646,646,646
24540,39010,956,956,956,956
24580,46666,1075,1075,1075,1075
24620,6308,393,393,393,393
24640,8698,496,496,496,496
24660,106113,1299,1299,1299,1299
24700,3308,280,280,280,280
24740,6015,391,391,391,391
24780,21376,733,733,733,733
24820,6386,396,396,396,396
24860,123397,1308,1308,1308,1308
24900,4295,311,311,311,311
24940,9150,493,493,493,493
24980,2829,225,225,225,225
25060,42898,938,938,938,938
25100,2282,203,203,203,203
25180,30044,850,850,850,850
25200,9390,471,471,471,471
25220,14385,645,645,645,645
25260,9451,450,450,450,450
25300,5450,365,365,365,365
25420,82194,1166,1166,1166,1166
25460,5059,357,357,357,357
25500,18381,663,663,663,663
25540,175375,1387,1387,1387,1387
25580,5201,365,365,365,365
25620,19254,713,713,713,713
25700,6041,400,400,400,400
25720,5713,349,349,349,349
25740,15579,679,679,679,679
25760,1790,169,169,169,169
25780,4496,297,297,297,297
25820,1892,196,196,196,196
25840,9908,538,538,538,538
25860,45036,1045,1045,1045,1045
25880,3955,301,301,301,301
25900,24643,805,805,805,805
25940,36684,842,842,842,842
25980,5082,306,306,306,306
26020,9761,429,429,429,429
26090,14056,671,671,671,671
26140,16115,636,636,636,636
26220,5605,376,376,376,376
26260,2552,237,237,237,237
26300,16041,658,658,658,658
26340,5058,347,347,347,347
26380,25907,779,779,779,779
26420,877716,1785,1785,1785,1785
26460,9997,515,515,515,515
26500,4462,318,318,318,318
26540,4515,331,331,331,331
26580,39475,934,934,934,934
26620,59277,1009,1009,1009,1009
26660,6741,425,425,425,425
26700,2868,231,231,231,231
26740,8809,520,520,520,520
26780,5106,364,364,364,364
26820,25186,806,806,806,806
26860,10367,523,523,523,523
26900,287798,1518,1518,1518,1518
26940,2202,214,214,214,214
26960,4750,332,332,332,332
26980,23503,748,748,748,748
27020,5018,350,350,350,350
27060,13503,609,609,609,609
27100,17127,715,715,715,715
27140,79085,1106,1106,1106,1106
27160,3224,254,254,254,254
27180,17384,676,676,676,676
27220,16040,590,590,590,590
27260,235936,1394,1394,1394,1394
27300,4677,313,313,313,313
27340,16930,600,600,600,600
27380,4178,312,312,312,312
27420,3467,294,294,294,294
27460,15927,686,686,686,686
27500,19499,738,738,738,738
27540,8141,480,480,480,480
27600,7612,455,455,455,455
27620,20562,748,748,748,748
27660,3230,263,263,263,263
27700,3019,240,240,240,240
27740,22569,758,758,758,758
27780,17632,663,663,663,663
27860,16797,661,661,661,661
27900,23318,814,814,814,814
27920,2958,234,234,234,234
27940,6254,438,438,438,438
27980,28517,812,812,812,812
28020,40730,1003,1003,1003,1003
28060,25394,805,805,805,805
28100,13102,609,609,609,609
28140,317322,1528,1528,1528,1528
28180,12576,550,550,550,550
28260,10772,539,539,539,539
28300,10926,568,568,568,568
28340,4702,352,352,352,352
28380,3425,231,231,231,231
28420,38208,896,896,896,896
28500,8411,482,482,482,482
28540,3148,259,259,259,259
28580,22440,694,694,694,694
28620,11871,470,470,470,470
28660,38317,852,852,852,852
28700,34949,901,901,901,901
28740,28560,855,855,855,855
28780,2903,247,247,247,247
28820,6515,417,417,417,417
28860,3392,265,265,265,265
28900,8810,479,479,479,479
28940,110086,1281,1281,1281,1281
29020,10328,523,523,523,523
29060,10431,550,550,550,550
29100,20352,756,756,756,756
29180,78591,1161,1161,1161,1161
29200,24939,794,794,794,794
29260,4077,299,299,299,299
29300,8042,423,423,423,423
29340,28537,854,854,854,854
29380,7830,459,459,459,459
29420,22838,725,725,725,725
29460,72375,1132,1132,1132,1132
29500,1300,127,127,127,127
29540,79192,1227,1227,1227,1227
29620,56909,1097,1097,1097,1097
29660,5817,360,360,360,360
29700,32907,772,772,772,772
29740,21253,754,754,754,754
29780,2202,176,176,176,176
29820,283879,1439,1439,1439,1439
29860,8420,453,453,453,453
29900,2996,218,218,218,218
29940,15927,626,626,626,626
29980,3913,290,290,290,290
30020,12614,563,563,563,563
30060,3861,292,292,292,292
30140,15796,648,648,648,648
30220,2560,210,210,210,210
30260,5102,343,343,343,343
30280,2633,238,238,238,238
30300,8933,505,505,505,505
30340,16219,690,690,690,690
30380,5283,354,354,354,354
30420,4077,303,303,303,303
30460,74872,1146,1146,1146,1146
30580,2863,249,249,249,249
30620,13435,649,649,649,649
30660,2936,235,235,235,235
30700,54437,1020,1020,1020,1020
30780,109785,1212,1212,1212,1212
30820,4087,308,308,308,308
30860,22674,774,774,774,774
30880,3098,234,234,234,234
30900,3491,278,278,278,278
30940,12990,577,577,577,577
30980,31425,892,892,892,892
31020,12761,618,618,618,618
31060,1882,163,163,163,163
31080,2307475,1904,1904,1904,1904
31140,178680,1423,1423,1423,1423
31180,44892,1006,1006,1006,1006
31220,3672,280,280,280,280
31260,10534,540,540,540,540
31300,10091,450,450,450,450
31340,35267,897,897,897,897
31380,3355,258,258,258,258
31420,30304,842,842,842,842
31460,11598,560,560,560,560
31500,3367,284,284,284,284
31540,102960,1258,1258,1258,1258
31580,5087,326,326,326,326
31620,2823,254,254,254,254
31660,5263,336,336,336,336
31680,2531,224,224,224,224
31700,65750,1113,1113,1113,1113
31740,12810,571,571,571,571
31820,9582,541,541,541,541
31860,15228,687,687,687,687
31900,15355,669,669,669,669
31930,7534,478,478,478,478
31940,8420,466,466,466,466
31980,7026,425,425,425,425
32000,4072,301,301,301,301
32020,5922,387,387,387,387
32100,9045,489,489,489,489
32140,4326,331,331,331,331
32180,2395,200,200,200,200
32220,7243,454,454,454,454
32260,4141,328,328,328,328
32280,2838,217,217,217,217
32300,7258,417,417,417,417
32340,2332,230,230,230,230
32380,9135,531,531,531,531
32460,3452,280,280,280,280
32500,2129,204,204,204,204
32540,4978,346,346,346,346
32580,74012,1062,1062,1062,1062
32620,6038,361,361,361,361
32660,3780,278,278,278,278
32700,4762,324,324,324,324
32740,11117,569,569,569,569
32780,37828,952,952,952,952
32820,154391,1339,1339,1339,1339
32860,4921,352,352,352,352
32900,18475,660,660,660,660
32940,12372,551,551,551,551
32980,3693,290,290,290,290
33020,2552,242,242,242,242
33060,2810,217,217,217,217
33100,1193554,1761,1761,1761,1761
33140,12789,608,608,608,608
33180,2326,198,198,198,198
33220,10055,516,516,516,516
33260,34898,851,851,851,851
33300,4729,309,309,309,309
33340,230975,1525,1525,1525,1525
33420,3104,251,251,251,251
33460,583991,1712,1712,1712,1712
33500,13125,625,625,625,625
33540,26877,843,843,843,843
33580,4221,324,324,324,324
33620,2740,248,248,248,248
33660,52038,1100,1100,1100,1100
33700,55152,1052,1052,1052,1052
33740,26632,803,803,803,803
33780,13262,592,592,592,592
33860,45650,994,994,994,994
33940,7075,450,450,450,450
33980,11718,533,533,533,533
34020,6298,401,401,401,401
34060,16608,633,633,633,633
34100,11424,527,527,527,527
34140,5079,330,330,330,330
34180,10705,524,524,524,524
34220,4842,327,327,327,327
34260,5693,362,362,362,362
34300,2370,231,231,231,231
34340,9054,471,471,471,471
34380,7621,453,453,453,453
34420,3315,252,252,252,252
34460,3725,268,268,268,268
34500,5033,355,355,355,355
34540,6032,394,394,394,394
34580,20997,761,761,761,761
34620,13798,619,619,619,619
34660,4546,322,322,322,322
34700,5009,349,349,349,349
34740,17938,737,737,737,737
34780,7630,454,454,454,454
34820,71238,1034,1034,1034,1034
34860,7118,439,439,439,439
34900,25375,752,752,752,752
34940,74864,1044,1044,1044,1044
34980,271324,1526,1526,1526,1526
35020,6120,393,393,393,393
35060,4274,294,294,294,294
35100,14548,611,611,611,611
35140,3978,274,274,274,274
35220,4532,327,327,327,327
35260,10946,542,542,542,542
35300,115589,1292,1292,1292,1292
35380,187165,1383,1383,1383,1383
35420,12038,598,598,598,598
35440,8869,445,445,445,445
35460,2298,165,165,165,165
35500,4167,297,297,297,297
35580,4310,325,325,325,325
35620,3492063,1892,1892,1892,1892
35660,20630,758,758,758,758
35700,6263,378,378,378,378
35740,9120,480,480,480,480
35820,5804,368,368,368,368
35840,142519,1261,1261,1261,1261
35860,2036,178,178,178,178
35900,6335,380,380,380,380
35940,5882,369,369,369,369
35980,34978,861,861,861,861
36020,10419,501,501,501,501
36100,43538,926,926,926,926
36140,22330,639,639,639,639
36220,22617,689,689,689,689
36260,88668,1196,1196,1196,1196
36300,10813,525,525,525,525
36340,6334,404,404,404,404
36380,4513,311,311,311,311
36420,216263,1380,1380,1380,1380
36460,8882,479,479,479,479
36500,38108,890,890,890,890
36540,144377,1272,1272,1272,1272
36580,7379,415,415,415,415
36620,7059,433,433,433,433
36660,9062,471,471,471,471
36700,8996,423,423,423,423
36740,408784,1528,1528,1528,1528
36780,21114,780,780,780,780
36820,2814,242,242,242,242
36830,1960,158,158,158,158
36840,2710,223,223,223,223
36860,19993,746,746,746,746
36900,4900,368,368,368,368
36940,5456,407,407,407,407
36980,14784,625,625,625,625
37020,6275,381,381,381,381
37060,7233,411,411,411,411
37080,4839,294,294,294,294
37100,128505,1321,1321,1321,1321
37120,3649,267,267,267,267
37140,15003,664,664,664,664
37220,3846,299,299,299,299
37260,6822,387,387,387,387
37300,4692,313,313,313,313
37340,86539,1133,1133,1133,1133
37420,2739,232,232,232,232
37460,29272,831,831,831,831
37500,4085,291,291,291,291
37540,3689,286,286,286,286
37580,6766,421,421,421,421
37620,11363,538,538,538,538
37660,2195,204,204,204,204
37740,5574,350,350,350,350
37780,1770,145,145,145,145
37800,4582,326,326,326,326
37860,58718,1048,1048,1048,1048
37900,48981,1027,1027,1027,1027
37940,2886,235,235,235,235
37980,897524,1781,1781,1781,1781
38060,610021,1699,1699,1699,1699
38100,4360,299,299,299,299
38180,4478,351,351,351,351
38220,8288,434,434,434,434
38240,13320,570,570,570,570
38260,5071,348,348,348,348
38300,356114,1588,1588,1588,1588
38340,22046,749,749,749,749
38380,3590,283,283,283,283
38420,6627,397,397,397,397
38460,10098,545,545,545,545
38500,5855,423,423,423,423
38540,12403,561,561,561,561
38580,4881,339,339,339,339
38620,5878,399,399,399,399
38700,4590,321,321,321,321
38740,5659,369,369,369,369
38780,1606,154,154,154,154
38820,11949,576,576,576,576
38840,5599,368,368,368,368
38860,109579,1259,1259,1259,1259
38900,426828,1682,1682,1682,1682
38920,2149,197,197,197,197
38940,70816,1080,1080,1080,1080
39020,6923,373,373,373,373
39060,15589,608,608,608,608
39140,35446,880,880,880,880
39220,2309,207,207,207,207
39260,2779,223,223,223,223
39300,248122,1505,1505,1505,1505
39340,89572,1165,1165,1165,1165
39380,18629,681,681,681,681
39420,4506,289,289,289,289
39460,23923,727,727,727,727
39500,11065,570,570,570,570
39540,23476,793,793,793,793
39580,208806,1336,1336,1336,1336
39660,28020,874,874,874,874
39700,862,95,95,95,95
39740,49513,1073,1073,1073,1073
39780,5427,367,367,367,367
39820,25415,801,801,801,801
39860,7029,426,426,426,426
39900,77738,1189,1189,1189,1189
39940,7217,390,390,390,390
39980,7967,483,483,483,483
40060,193772,1385,1385,1385,1385
40080,11099,511,511,511,511
40100,3122,216,216,216,216
40140,465126,1684,1684,1684,1684
40180,7056,441,441,441,441
40220,48049,1019,1019,1019,1019
40260,6578,353,353,353,353
40300,5661,360,360,360,360
40340,30202,837,837,837,837
40380,147140,1394,1394,1394,1394
40420,42255,1025,1025,1025,1025
40460,4281,276,276,276,276
40540,6709,397,397,397,397
40580,16182,653,653,653,653
40620,5676,373,373,373,373
40660,11396,543,543,543,543
40700,14940,612,612,612,612
40740,7557,446,446,446,446
40760,3519,263,263,263,263
40780,10717,521,521,521,521
40820,5987,394,394,394,394
40860,11533,558,558,558,558
40900,304969,1483,1483,1483,1483
40940,2655,242,242,242,242
40980,24457,779,779,779,779
41060,31422,904,904,904,904
41100,33166,840,840,840,840
41140,15884,686,686,686,686
41180,429174,1664,1664,1664,1664
41220,4588,282,282,282,282
41260,4780,340,340,340,340
41400,11071,555,555,555,555
41420,59929,1071,1071,1071,1071
41460,8987,530,530,530,530
41500,52377,993,993,993,993
41540,64150,1049,1049,1049,1049
41620,203241,1459,1459,1459,1459
41660,16502,686,686,686,686
41700,282762,1498,1498,1498,1498
41740,523251,1634,1634,1634,1634
41760,9357,499,499,499,499
41780,10123,531,531,531,531
41820,7420,440,440,440,440
41860,789372,1704,1704,1704,1704
41940,299586,1455,1455,1455,1455
42020,50619,1044,1044,1044,1044
42100,41755,954,954,954,954
42140,28223,803,803,803,803
42200,70588,1157,1157,1157,1157
42220,85190,1207,1207,1207,1207
42300,4011,293,293,293,293
42340,56825,1064,1064,1064,1064
42380,7375,422,422,422,422
42420,5880,399,399,399,399
42460,4481,304,304,304,304
42540,77171,1165,1165,1165,1165
42620,8700,473,473,473,473
42660,650031,1706,1706,1706,1706
42680,25879,769,769,769,769
42700,11208,538,538,538,538
42740,5421,368,368,368,368
42780,4778,329,329,329,329
42820,3517,267,267,267,267
42860,9033,463,463,463,463
42900,3799,301,301,301,301
42940,16517,548,548,548,548
42980,5431,375,375,375,375
43020,4828,323,323,323,323
43060,7302,432,432,432,432
43100,15438,664,664,664,664
43140,11022,515,515,515,515
43180,4270,310,310,310,310
43220,5793,357,357,357,357
43260,7991,457,457,457,457
43300,15166,649,649,649,649
43320,10185,493,493,493,493
43340,58780,1073,1073,1073,1073
43380,5196,375,375,375,375
43420,12315,567,567,567,567
43460,5781,383,383,383,383
43500,3003,261,261,261,261
43580,25711,846,846,846,846
43620,47436,1031,1031,1031,1031
43660,2125,191,191,191,191
43700,7864,457,457,457,457
43740,9288,486,486,486,486
43760,6976,376,376,376,376
43780,39004,1007,1007,1007,1007
43900,41742,1034,1034,1034,1034
43940,5924,396,396,396,396
43980,2927,253,253,253,253
44020,4172,306,306,306,306
44060,87015,1232,1232,1232,1232
44100,29944,855,855,855,855
44140,77688,1202,1202,1202,1202
44180,70931,1139,1139,1139,1139
44220,12521,591,591,591,591
44260,5006,336,336,336,336
44300,19529,755,755,755,755
44340,8366,433,433,433,433
44420,16061,676,676,676,676
44460,10052,469,469,469,469
44500,5414,368,368,368,368
44540,2957,252,252,252,252
44580,6453,402,402,402,402
44620,9726,514,514,514,514
44660,10429,546,546,546,546
44700,71284,1123,1123,1123,1123
44740,2812,257,257,257,257
44780,6170,398,398,398,398
44860,3921,291,291,291,291
44900,1526,140,140,140,140
44920,14579,569,569,569,569
44940,9970,511,511,511,511
44980,9281,458,458,458,458
45000,2018,190,190,190,190
45020,1624,154,154,154,154
45060,89597,1204,1204,1204,1204
45140,4059,308,308,308,308
45180,7407,420,420,420,420
45220,54005,985,985,985,985
45300,487625,1626,1626,1626,1626
45340,5771,353,353,353,353
45380,3722,269,269,269,269
45460,20125,737,737,737,737
45500,17755,683,683,683,683
45520,3710,295,295,295,295
45540,9492,467,467,467,467
45580,2326,182,182,182,182
45620,6154,392,392,392,392
45660,5636,373,373,373,373
45700,5928,387,387,387,387
45740,2708,235,235,235,235
45780,77612,1219,1219,1219,1219
45820,29534,859,859,859,859
45860,27551,841,841,841,841
45900,29137,916,916,916,916
45940,57641,1035,1035,1035,1035
45980,3423,261,261,261,261
46020,18093,704,704,704,704
46060,121862,1238,1238,1238,1238
46100,11388,556,556,556,556
46140,147634,1356,1356,1356,1356
46180,19654,723,723,723,723
46220,26555,816,816,816,816
46300,19067,687,687,687,687
46340,35108,942,942,942,942
46380,14043,613,613,613,613
46460,4022,292,292,292,292
46500,3024,262,262,262,262
46520,128119,1233,1233,1233,1233
46540,35233,923,923,923,923
46620,3294,274,274,274,274
46660,17995,670,670,670,670
46700,42900,963,963,963,963
46740,2866,207,207,207,207
46780,2753,221,221,221,221
46820,1448,146,146,146,146
46860,5856,360,360,360,360
46900,1295,141,141,141,141
46980,6056,372,372,372,372
47020,13951,623,623,623,623
47080,4047,296,296,296,296
47180,4452,328,328,328,328
47220,16337,645,645,645,645
47240,6224,325,325,325,325
47260,228725,1374,1374,1374,1374
47300,38610,904,904,904,904
47340,3819,303,303,303,303
47380,32872,929,929,929,929
47420,3508,257,257,257,257
47460,8570,495,495,495,495
47540,5417,389,389,389,389
47580,18767,612,612,612,612
47620,4711,329,329,329,329
47660,4867,342,342,342,342
47700,11108,573,573,573,573
47780,5029,335,335,335,335
47820,5922,375,375,375,375
47900,934262,1587,1587,1587,1587
47920,3067,253,253,253,253
47940,23780,796,796,796,796
47980,6078,413,413,413,413
48020,11391,552,552,552,552
48060,13896,595,595,595,595
48100,1962,179,179,179,179
48140,19916,776,776,776,776
48180,6589,402,402,402,402
48220,5041,349,349,349,349
48260,12243,523,523,523,523
48300,19847,712,712,712,712
48460,6111,409,409,409,409
48500,1647,154,154,154,154
48540,18693,699,699,699,699
48580,15800,663,663,663,663
48620,88984,1208,1208,1208,1208
48660,19667,742,742,742,742
48700,15818,638,638,638,638
48780,8719,426,426,426,426
48820,7741,439,439,439,439
48900,53348,1017,1017,1017,1017
48940,3798,303,303,303,303
48980,9948,508,508,508,508
49020,18774,704,704,704,704
49080,2061,198,198,198,198
49100,6222,403,403,403,403
49180,80867,1220,1220,1220,1220
49220,10125,528,528,528,528
49260,4135,306,306,306,306
49300,14381,632,632,632,632
49340,123409,1290,1290,1290,1290
49380,3035,250,250,250,250
49420,28507,835,835,835,835
49460,3662,299,299,299,299
49620,51348,1075,1075,1075,1075
49660,71702,1187,1187,1187,1187
49700,15488,648,648,648,648
49740,18093,668,668,668,668
49780,9662,517,517,517,517
49820,582,71,71,71,71
